File_Name,Model,Optimized_Parameters,MAE,F2
data/drug_release/122..csv,weibull,[92.63374992  1.02748103],0.9304990280392289,91.94328474111008
data/drug_release/123..csv,weibull,[29.24032758  0.89526037],1.1415471129319614,88.2506213925448
data/drug_release/124..csv,weibull,[18.51436528  1.01064777],1.7779714640124809,82.84600948514088
data/drug_release/125..csv,weibull,[8.16634184 0.91119756],1.9538854511988437,82.14962116064446
data/drug_release/126..csv,weibull,[9.52802786 0.85377316],0.1472644895144386,99.6437457388154
data/drug_release/127..csv,weibull,[5.18015639 0.52430579],1.5276135603408882,84.34836062035411
data/drug_release/131..csv,weibull,[5.39133285 0.49650624],1.5442685547632928,83.80448167867101
data/drug_release/132..csv,weibull,[2.9617709 0.353695 ],0.8337909968220135,91.01316378409469
data/drug_release/133..csv,weibull,[1.4441257 0.3499927],2.0697231847214357,80.14130227117981
data/drug_release/134..csv,weibull,[1.92998029 0.56188653],3.6779321441134285,64.16347278435298
data/drug_release/135..csv,weibull,[0.80780271 0.75273898],2.9482012453028354,72.53883183070867
data/drug_release/136..csv,weibull,[2.01245172 0.60489272],2.1762143556443863,75.61602061938434
data/drug_release/137..csv,weibull,[0.3660397  1.66687768],0.8061687027205805,86.71838012352767
data/drug_release/138..csv,weibull,[2.61199451 0.53482027],1.6887984156898053,79.3819523616474
data/drug_release/139..csv,weibull,[0.49243532 4.89742457],1.0332430902403187,84.54800149157776
data/drug_release/140..csv,weibull,[1.34022313 0.58515001],3.1695673048521127,68.86127841664359
data/drug_release/141..csv,weibull,[0.37237501 0.46251126],0.3150598375266246,98.31903806630172
data/drug_release/173..csv,weibull,[3.93020033 0.47066643],3.1074830511423,72.28427124152046
data/drug_release/174..csv,weibull,[5.53018726 0.34092113],3.7548968989374742,68.10841310004741
data/drug_release/175..csv,weibull,[0.18389536 0.28896413],3.853233045648552,63.23207236270497
data/drug_release/176..csv,weibull,[0.05639304 0.46595619],1.9505105753563896,77.06106883655795
data/drug_release/177..csv,weibull,[1.12962127 0.44628823],0.30326021374414097,98.7065966838921
data/drug_release/178..csv,weibull,[3.22244568 0.33074158],0.11923563097919275,99.76389768040984
data/drug_release/179..csv,weibull,[0.69766215 0.479423  ],0.48023398801659056,96.95869977983682
data/drug_release/183..csv,weibull,[0.61821309 0.75311975],0.3624414438462617,97.06881422620788
data/drug_release/184..csv,weibull,[0.19089885 0.49789091],0.886150184323275,90.59078412176838
data/drug_release/185..csv,weibull,[0.22640931 0.29730779],1.7892572472535593,76.90328580697657
data/drug_release/189..csv,weibull,[0.14869597 0.62072306],2.3668690403609354,77.07958585770143
data/drug_release/190..csv,weibull,[0.03112081 0.7548379 ],2.105495548289261,72.46046445499921
data/drug_release/191..csv,weibull,[0.0113658  0.85850733],2.3751320810642214,73.66467485547791
data/drug_release/197..csv,weibull,[1.64710068 0.36772437],0.3555336110843243,97.76908326779728
data/drug_release/198..csv,weibull,[0.30840176 0.23935568],4.977236691949743,54.99084103601457
data/drug_release/199..csv,weibull,[0.15056332 0.29252498],6.384085642322487,51.97454411856738
data/drug_release/200..csv,weibull,[0.13389294 0.31010249],6.567194257122768,50.4560439588577
data/drug_release/203..csv,weibull,[0.41564907 0.95105442],3.540028884864924,60.81970175272353
data/drug_release/205..csv,weibull,[1.58169243 0.41709538],4.35004955409031,60.60386853548779
data/drug_release/206..csv,weibull,[2.5313853  0.39235659],1.7260160581556228,81.27768466212724
data/drug_release/207..csv,weibull,[1.27255261 0.34156598],5.79087320156855,56.1436257959786
data/drug_release/208..csv,weibull,[1.36824465 0.56974908],5.530320407949725,54.49077238013825
data/drug_release/209..csv,weibull,[5.67878273 0.15385171],3.100698304973739,69.26246981242986
data/drug_release/210..csv,weibull,[2.82267721 0.24476995],3.961709427913041,62.40418452691159
data/drug_release/211..csv,weibull,[1.57540748 0.0819872 ],2.4473605057352166,73.50931370710147
data/drug_release/213..csv,weibull,[3.78646367 0.24342132],3.7197889837960396,64.35017815158078
data/drug_release/214..csv,weibull,[0.54204101 0.51500185],3.999286370429594,62.61105273301818
data/drug_release/215..csv,weibull,[0.66804185 0.48404713],2.7880801433779143,70.65985149023246
data/drug_release/216..csv,weibull,[4.40059393 0.15271903],0.8697263861300674,91.15494092422882
data/drug_release/217..csv,weibull,[6.72232737 0.12411524],2.5063492430344407,72.2737753277851
data/drug_release/218..csv,weibull,[3.19793477 0.15616095],4.028642700210418,62.09903776691262
data/drug_release/219..csv,weibull,[14.44547743  0.08576286],1.4403136319933056,83.46661513739132
data/drug_release/220..csv,weibull,[3.25125458 0.35627343],3.565042560864471,66.72979931245162
data/drug_release/221..csv,weibull,[1.71048655 0.94231753],0.5537078173178482,95.09890771815944
data/drug_release/222..csv,weibull,[1.50019716 0.95068081],1.5607257693606569,84.40786039370616
data/drug_release/223..csv,weibull,[1.87781412 0.73821562],2.169790493794679,78.93455546985975
data/drug_release/224..csv,weibull,[1.34824055 0.91554068],0.8952890120871536,91.18918982983467
data/drug_release/225..csv,weibull,[4.18161752 0.82192649],0.6362586630635875,95.33581008613513
data/drug_release/230..csv,weibull,[9.68343709 0.43446543],2.7675883493231694,72.88957676673277
